Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Emanuel Costela,1962-08-02,018.374.956-10,70933,Carpinteiro,atque,2024-03-18,2024-04-14,29,B0087,corporis,2024-01-27,10868-S,Ana Julia Silva,Santos,internação,afastamento total,não,perícia,repouso,2024-04-11,2024-01-05,3,05:30:38,Estatutário,2024-02-14,2024-01-27,efetivo,Est consequatur maiores.,pendente
Júlia Correia,1958-12-03,369.145.278-73,71889,Designer de moda,aperiam,2024-02-19,2024-03-25,25,A0075,consectetur,2024-05-22,59548-S,Gustavo Henrique Pereira,da Paz Ltda.,internação,afastamento parcial,não,perícia,repouso,2024-04-09,2024-03-29,3,20:34:34,Estatutário,2024-03-15,2024-03-14,temporário,Voluptate impedit modi quis error.,aprovado
Sr. Noah Peixoto,2005-05-17,379.681.402-69,16683,Zelador,aliquam,2024-03-18,2024-01-09,26,A005,suscipit,2024-03-07,47356-S,Sr. Marcelo Sales,da Costa,internação,afastamento parcial,sim,perícia,repouso,2024-05-11,2024-03-01,4,17:51:50,Estatutário,2024-01-05,2024-01-01,efetivo,Sed quasi provident.,rejeitado
Olivia Almeida,2002-04-13,471.650.832-35,86631,Alfaiate,molestiae,2024-03-16,2024-03-05,6,C001,atque,2024-04-04,87597-S,Davi Porto,Silva,internação,afastamento total,não,consulta,medicação,2024-06-12,2024-04-19,5,06:46:49,Estatutário,2024-04-10,2024-04-06,efetivo,Illum aliquam delectus quidem consequuntur rem veritatis atque.,rejeitado
Pietro Aragão,2001-12-14,517.892.403-79,86553,Empacotador,quia,2024-03-21,2024-01-11,29,B0029,qui,2024-05-11,15910-P,João Felipe Carvalho,Cardoso Barbosa Ltda.,ambulatorial,afastamento total,sim,perícia,medicação,2024-01-08,2024-05-18,4,15:25:47,Estatutário,2024-01-25,2024-02-13,temporário,Quaerat laboriosam alias tenetur nobis inventore corrupti.,aprovado
Isadora Melo,1991-08-26,247.531.986-00,13898,Economista,iusto,2024-01-02,2024-01-25,19,C0026,reiciendis,2024-05-13,62657-S,Isabel da Cunha,da Rocha Novaes e Filhos,internação,afastamento total,sim,consulta,medicação,2024-02-02,2024-03-06,2,01:30:20,Estatutário,2024-03-02,2024-03-11,efetivo,Incidunt voluptates sint autem.,aprovado
Kaique Cavalcanti,1997-01-21,462.819.503-05,56641,Avalista,quod,2024-01-07,2024-02-18,6,B0018,illo,2024-06-17,15487-P,Luiz Fernando da Cruz,Alves,internação,afastamento parcial,não,perícia,repouso,2024-01-25,2024-06-01,3,09:17:56,Estatutário,2024-06-05,2024-01-26,temporário,Sunt illo corrupti quidem magni nesciunt.,rejeitado
Vitor da Mota,1992-05-29,269.830.157-03,964,Odontologista legal,deserunt,2024-04-08,2024-02-28,20,A0070,ducimus,2024-05-20,64732-S,Maria Vitória da Rosa,Farias,ambulatorial,afastamento total,sim,consulta,outro,2024-03-12,2024-03-25,2,02:36:52,Estatutário,2024-02-10,2024-04-13,temporário,Ut possimus molestiae.,pendente
Dr. Ryan Pires,2006-02-21,068.293.754-10,72174,Clarinetista,doloribus,2024-01-23,2024-01-17,29,C0056,earum,2024-03-05,24810-P,Erick Nogueira,Lima Porto Ltda.,internação,afastamento total,sim,perícia,medicação,2024-06-14,2024-06-08,0,17:30:05,CLT,2024-05-31,2024-05-06,temporário,Esse quibusdam in.,rejeitado
Natália Pinto,1996-02-02,185.749.032-05,20349,Pediatra,eius,2024-02-27,2024-06-08,17,C0058,nemo,2024-06-06,45215-S,Luiz Otávio Lopes,das Neves Vieira - EI,ambulatorial,afastamento parcial,não,consulta,medicação,2024-05-31,2024-04-18,5,02:22:18,Estatutário,2024-05-31,2024-06-10,temporário,Nihil nobis nemo alias voluptates accusantium harum.,pendente
Daniela Pereira,2003-07-17,429.870.165-49,26317,Eletricista,et,2024-05-27,2024-01-08,9,D0035,nobis,2024-01-02,71409-S,Giovanna Santos,Carvalho Moraes - ME,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-03-01,2024-06-16,4,19:08:41,Estatutário,2024-02-06,2024-01-06,efetivo,Dolorem sequi molestiae aut.,rejeitado
Benjamin Caldeira,1974-06-19,510.792.468-94,92235,Coordenador,libero,2024-04-01,2024-02-17,11,D005,nostrum,2024-03-22,71728-S,Maria Vitória Gonçalves,Silva Gonçalves S/A,internação,afastamento total,sim,consulta,medicação,2024-01-08,2024-05-31,4,05:20:05,CLT,2024-03-03,2024-03-17,efetivo,Id animi quas molestiae atque occaecati maxime.,rejeitado
Diogo Costa,1984-06-04,425.370.196-52,49859,Panfleteiro,ex,2024-02-03,2024-06-06,9,B0069,perspiciatis,2024-01-15,15467-S,Luiz Miguel Silva,Pinto,internação,afastamento total,não,perícia,repouso,2024-03-14,2024-01-28,3,05:03:11,CLT,2024-06-15,2024-01-13,temporário,Quae qui dolore alias neque cupiditate suscipit.,aprovado
Anthony Cardoso,1980-11-18,349.167.025-06,95391,Odontologista preventivo e social,accusamus,2024-04-17,2024-01-19,20,B0050,enim,2024-04-07,76257-P,Juan da Conceição,Ribeiro Nunes - ME,internação,afastamento total,não,consulta,outro,2024-02-10,2024-02-08,2,01:42:31,CLT,2024-02-17,2024-03-01,temporário,Quo quo ipsa voluptates dolore necessitatibus.,aprovado
Sr. Eduardo Pinto,1987-02-11,182.630.745-17,61837,Ginasta artística,architecto,2024-03-09,2024-03-10,5,A0097,veritatis,2024-04-16,33554-P,Joaquim Rocha,Araújo - EI,ambulatorial,afastamento total,não,perícia,medicação,2024-04-13,2024-02-22,1,18:21:30,CLT,2024-04-03,2024-04-23,efetivo,Commodi aliquam inventore nostrum placeat fugiat.,aprovado
Vitória Farias,1984-02-04,971.064.352-52,42194,Panificador/Padeiro,vel,2024-05-20,2024-03-08,30,C0041,consequuntur,2024-06-04,60605-S,Srta. Stella Novaes,Sales,internação,afastamento parcial,sim,consulta,repouso,2024-04-09,2024-06-02,0,02:22:58,CLT,2024-03-21,2024-03-07,efetivo,Quas in libero excepturi dolorem rem animi.,aprovado
Carlos Eduardo Silveira,1960-08-06,764.203.195-52,83528,Comandante,architecto,2024-06-06,2024-06-10,12,B0083,hic,2024-04-18,40946-S,Juliana Porto,da Rocha Oliveira S.A.,internação,afastamento total,sim,consulta,medicação,2024-05-10,2024-06-07,1,02:37:28,Estatutário,2024-06-15,2024-03-15,efetivo,Laudantium beatae non nemo eum.,aprovado
Davi Lucca da Luz,1996-04-04,094.172.865-01,92571,Caixa,debitis,2024-04-05,2024-01-19,2,C004,illo,2024-02-18,97864-P,Diogo Ribeiro,Aragão S/A,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-05-26,2024-05-31,2,06:41:25,CLT,2024-01-24,2024-03-03,efetivo,Praesentium officiis quisquam vel ea.,pendente
Bruno Novaes,1964-04-22,721.439.560-61,85550,Profissional de áudio,illum,2024-02-14,2024-01-06,30,B0050,iste,2024-04-29,34167-P,Yuri da Mata,Duarte Gomes S.A.,internação,afastamento total,não,consulta,medicação,2024-04-02,2024-05-20,4,07:51:12,Estatutário,2024-03-02,2024-06-01,efetivo,Sint corporis rem inventore.,aprovado
Noah Lima,1979-01-14,318.042.956-98,11607,Estivador,molestias,2024-04-03,2024-01-19,25,A0055,assumenda,2024-02-07,97765-P,Vinicius Fernandes,Correia Farias Ltda.,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-05-22,2024-05-06,5,14:01:20,CLT,2024-03-14,2024-05-14,efetivo,Quasi explicabo pariatur inventore non itaque.,aprovado
Cauê Fogaça,1985-03-30,561.937.084-48,13522,Tintureiro,provident,2024-06-11,2024-05-03,9,C0083,asperiores,2024-02-26,77992-P,Sra. Mirella Barbosa,Porto,ambulatorial,afastamento parcial,não,consulta,outro,2024-04-05,2024-02-22,3,01:37:10,Estatutário,2024-03-25,2024-05-20,efetivo,Laborum rerum quibusdam iste.,rejeitado
Lorenzo Caldeira,2003-06-07,047.136.985-39,84438,Técnico em tratamento de água,nihil,2024-05-15,2024-02-27,5,B0049,fugiat,2024-02-04,90042-P,Olivia das Neves,Mendes Pires - ME,internação,afastamento parcial,não,perícia,repouso,2024-05-19,2024-01-17,3,06:51:51,Estatutário,2024-02-28,2024-02-04,efetivo,Repudiandae veniam nihil explicabo excepturi.,rejeitado
Eloah da Luz,1962-02-17,074.319.256-70,31320,Lutador de kung fu,molestias,2024-02-03,2024-06-08,18,C0079,corporis,2024-06-09,91877-S,Ana Laura Souza,Araújo,ambulatorial,afastamento total,sim,perícia,medicação,2024-05-11,2024-05-08,3,15:52:31,Estatutário,2024-04-11,2024-02-29,efetivo,Hic vitae eos voluptatibus quidem.,aprovado
Ana Julia Pinto,1984-02-04,153.209.468-05,5773,Engenheiro aeronáutico,temporibus,2024-05-03,2024-04-20,20,B0060,autem,2024-02-06,58968-S,Srta. Emanuelly Fernandes,Carvalho Nunes - EI,ambulatorial,afastamento total,não,perícia,outro,2024-05-13,2024-05-13,0,13:28:14,Estatutário,2024-05-29,2024-03-19,temporário,Ipsa vel id deserunt architecto.,rejeitado
Maria Sophia Santos,1973-05-07,365.482.179-00,17204,Regente,ab,2024-04-08,2024-05-07,5,A003,natus,2024-02-20,89044-P,João Guilherme da Cunha,Silveira,ambulatorial,afastamento parcial,não,perícia,repouso,2024-05-18,2024-06-17,1,17:26:59,CLT,2024-06-16,2024-06-01,temporário,Accusamus voluptas hic perferendis voluptatum exercitationem esse.,pendente
Nicolas Azevedo,1962-01-17,709.521.834-04,45687,Atleta de tiro com arco,temporibus,2024-01-11,2024-02-17,12,B0039,vel,2024-02-23,35158-S,Calebe Martins,Lima Caldeira S/A,internação,afastamento parcial,não,consulta,outro,2024-04-05,2024-04-08,2,10:20:52,Estatutário,2024-03-20,2024-02-24,efetivo,Qui autem a a doloremque sapiente sint.,aprovado
Paulo Dias,1959-12-21,076.895.234-47,3138,Polidor de produção,iure,2024-05-21,2024-01-18,14,D008,ullam,2024-03-24,16050-S,Mirella Pinto,Oliveira,ambulatorial,afastamento parcial,não,consulta,outro,2024-02-16,2024-03-14,5,13:16:12,CLT,2024-02-18,2024-05-18,efetivo,Ipsum dicta est voluptas reiciendis architecto aliquid reprehenderit.,pendente
Srta. Gabriela da Rocha,1976-05-29,190.642.375-06,45519,Mecânico de vôo,tenetur,2024-03-21,2024-05-21,25,A0036,rerum,2024-05-30,98044-S,Henrique Rezende,Freitas Porto e Filhos,ambulatorial,afastamento total,não,consulta,medicação,2024-06-11,2024-01-01,4,03:59:05,Estatutário,2024-03-02,2024-01-18,efetivo,Corrupti minima facere nam modi quis at.,rejeitado
Davi Lucas Sales,1974-02-15,362.058.479-65,3955,Delegado,consequatur,2024-01-21,2024-02-25,12,A009,optio,2024-03-19,20830-S,Sr. Vitor Jesus,Mendes da Rosa - ME,internação,afastamento total,não,consulta,repouso,2024-05-21,2024-02-27,1,06:39:45,CLT,2024-03-09,2024-04-06,efetivo,Quae explicabo quisquam recusandae laudantium beatae.,aprovado
Samuel Souza,1979-10-13,496.157.320-52,80018,Moldador,quaerat,2024-03-02,2024-05-02,12,C0055,et,2024-06-10,38120-S,Mariana da Mota,Araújo,internação,afastamento parcial,não,consulta,repouso,2024-02-21,2024-06-08,5,23:25:57,Estatutário,2024-03-06,2024-06-02,temporário,Earum sit rem placeat.,aprovado
Clara Barbosa,1965-06-29,320.749.165-07,30398,Necromaquiador,non,2024-06-06,2024-01-06,15,D0094,quos,2024-04-04,93224-P,Davi Lucca Sales,Moura Lima Ltda.,internação,afastamento parcial,sim,perícia,medicação,2024-02-17,2024-06-08,1,10:17:29,CLT,2024-04-13,2024-02-15,temporário,Cupiditate molestiae eos.,rejeitado
Francisco da Conceição,1990-01-12,187.409.256-76,22199,Pedreiro,illo,2024-04-25,2024-01-13,7,B003,deleniti,2024-06-12,70635-S,Matheus Moura,Caldeira,internação,afastamento parcial,não,perícia,medicação,2024-04-14,2024-02-27,1,02:11:55,CLT,2024-03-04,2024-04-27,efetivo,Pariatur inventore minima similique atque iure.,rejeitado
Calebe Nogueira,1987-09-24,193.408.756-48,51545,Protético dentário,deleniti,2024-03-20,2024-06-07,9,D0046,doloremque,2024-04-14,26107-P,Valentina Sales,Ramos e Filhos,internação,afastamento parcial,não,perícia,medicação,2024-01-28,2024-03-22,1,16:47:18,Estatutário,2024-03-17,2024-03-13,temporário,Eveniet ut animi animi necessitatibus veritatis.,pendente
Maria Barbosa,1972-03-29,298.406.375-92,70543,Ortopedista,libero,2024-06-12,2024-01-14,1,A0024,iste,2024-02-24,36866-S,Pietro Porto,Araújo,internação,afastamento parcial,não,perícia,medicação,2024-05-04,2024-03-29,5,15:29:20,CLT,2024-01-31,2024-05-06,temporário,Laboriosam deserunt doloremque officia magni velit similique.,aprovado
Yasmin Cardoso,1990-08-10,864.539.072-83,78155,Chargista,esse,2024-04-09,2024-02-07,22,C005,illum,2024-02-15,94618-S,Srta. Ana Laura Pinto,Lopes Pinto e Filhos,ambulatorial,afastamento parcial,não,consulta,medicação,2024-05-21,2024-05-25,4,21:40:23,Estatutário,2024-05-13,2024-05-26,temporário,Magnam dolorem quae qui officiis commodi.,aprovado
Maria Julia Castro,1979-03-18,598.107.632-12,20041,Recreador,quam,2024-06-11,2024-05-16,25,D0024,nesciunt,2024-06-09,84337-S,Helena Rezende,Moreira,internação,afastamento total,não,consulta,medicação,2024-01-09,2024-04-05,3,07:38:59,Estatutário,2024-05-16,2024-03-31,temporário,Asperiores neque natus odit expedita eligendi error alias.,aprovado
Bernardo Rocha,1979-12-14,946.821.735-37,94898,Sapateiro,rerum,2024-04-17,2024-03-11,1,C0022,veniam,2024-04-07,92257-S,Marina Nogueira,das Neves,ambulatorial,afastamento parcial,sim,consulta,outro,2024-03-07,2024-02-02,1,01:51:38,CLT,2024-03-23,2024-01-05,efetivo,Quo eaque minima facilis harum iusto.,pendente
Yago Costa,2005-12-06,120.965.487-30,60787,Militar do Exército,ratione,2024-03-06,2024-06-08,1,D0014,a,2024-04-22,80393-P,Sr. Ian Melo,Gonçalves Ltda.,ambulatorial,afastamento parcial,sim,consulta,outro,2024-05-23,2024-01-23,0,05:42:22,CLT,2024-06-14,2024-01-08,efetivo,Itaque perferendis temporibus itaque fugit dolor sed dolor.,rejeitado
Lucas Gabriel Cardoso,1964-02-24,931.248.567-91,3830,Gari,animi,2024-02-24,2024-01-22,17,C0013,dicta,2024-06-03,99940-S,Stella Dias,Monteiro S/A,internação,afastamento parcial,sim,consulta,outro,2024-01-04,2024-05-03,2,11:49:16,Estatutário,2024-04-14,2024-03-31,efetivo,Ab doloribus iste.,pendente
Thiago Rezende,1968-03-03,821.460.397-87,43579,Repórter,perspiciatis,2024-04-13,2024-05-30,18,A0093,fugit,2024-03-24,29009-S,Pietra Ramos,das Neves Pinto S/A,ambulatorial,afastamento parcial,sim,perícia,outro,2024-06-15,2024-03-28,5,17:31:03,CLT,2024-06-06,2024-05-02,efetivo,Optio dolore provident neque pariatur asperiores expedita iure.,rejeitado
André da Rosa,1977-05-18,536.482.970-74,90431,Transcritor,neque,2024-03-21,2024-03-09,6,A0056,adipisci,2024-02-16,47470-P,Pietro Carvalho,da Conceição e Filhos,internação,afastamento parcial,sim,consulta,outro,2024-03-06,2024-01-11,3,13:56:52,Estatutário,2024-06-09,2024-01-27,temporário,Possimus consequuntur ratione totam.,aprovado
Bárbara Pires,1993-12-03,296.738.451-82,59707,Aeronauta,ratione,2024-06-05,2024-04-02,20,D000,possimus,2024-06-04,80284-S,Guilherme da Mota,Vieira S/A,ambulatorial,afastamento total,não,consulta,medicação,2024-01-17,2024-04-01,5,13:23:25,Estatutário,2024-05-03,2024-05-17,efetivo,Nostrum nobis odio sunt.,aprovado
Marcos Vinicius Freitas,1982-01-03,821.695.304-60,32769,Webmaster,sequi,2024-06-08,2024-01-28,30,A0020,autem,2024-04-14,47059-P,Joaquim Dias,Rodrigues,internação,afastamento total,não,perícia,outro,2024-04-13,2024-04-23,4,03:32:37,Estatutário,2024-03-12,2024-04-20,efetivo,Magnam voluptatum doloribus nobis asperiores eveniet.,rejeitado
Lorena Cardoso,1967-03-26,320.158.679-02,26127,Ascensorista,quia,2024-02-19,2024-06-12,28,A0020,adipisci,2024-02-29,44999-S,Alexandre Moura,Nascimento,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-05-15,2024-04-28,4,00:07:16,CLT,2024-01-13,2024-02-25,temporário,Expedita soluta pariatur consequuntur.,rejeitado
Davi Teixeira,1987-05-02,253.460.981-51,12113,Fundidor de placa de gesso,ipsum,2024-05-19,2024-03-21,1,D000,magnam,2024-04-08,66405-P,Dra. Lara Nunes,Sales,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-06-04,2024-02-03,0,14:37:33,CLT,2024-05-26,2024-04-15,temporário,Eos quod commodi.,aprovado
Isabelly Silva,2004-07-31,537.408.261-26,29181,Amolador de ferramentas,distinctio,2024-04-22,2024-04-06,11,B0076,quasi,2024-02-05,16993-P,Joana Ferreira,da Costa,internação,afastamento parcial,sim,consulta,outro,2024-02-24,2024-03-15,3,22:27:03,Estatutário,2024-05-29,2024-05-24,temporário,Exercitationem aliquam praesentium molestiae repudiandae totam quisquam.,pendente
Nicolas Barros,2002-08-21,357.018.269-02,89143,Cumim,amet,2024-02-20,2024-05-12,30,D0054,vero,2024-05-10,33579-P,Clarice Rocha,Barbosa Santos S.A.,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-02-22,2024-03-25,3,01:23:45,CLT,2024-05-23,2024-03-22,temporário,Illum nam cupiditate dolores molestias quisquam commodi incidunt.,rejeitado
Lucas Moreira,1987-04-03,786.201.453-71,20461,Grafologista,laudantium,2024-01-06,2024-02-22,6,B0083,aspernatur,2024-01-22,52114-S,Lavínia Rocha,Araújo Costa e Filhos,ambulatorial,afastamento total,sim,perícia,medicação,2024-05-28,2024-01-26,2,22:39:09,CLT,2024-01-12,2024-02-03,temporário,Neque similique ea sequi vitae quibusdam possimus assumenda.,aprovado
Anthony Pires,1973-07-19,589.371.426-19,29143,Produtor de eventos,aliquam,2024-02-18,2024-04-23,30,C0022,sapiente,2024-06-02,11931-S,Heitor Fernandes,Martins Caldeira e Filhos,internação,afastamento parcial,sim,consulta,repouso,2024-02-16,2024-06-02,2,12:46:56,CLT,2024-01-23,2024-01-07,efetivo,Occaecati deserunt aut odit soluta quisquam.,pendente
Maria Fernanda Aragão,2000-10-03,302.567.481-44,29591,Intérprete e tradutor de língua de sinais,quisquam,2024-06-06,2024-01-12,27,D0081,aspernatur,2024-01-18,95465-S,Sr. Marcelo da Rosa,Melo Dias S.A.,internação,afastamento total,não,perícia,medicação,2024-01-15,2024-04-20,3,19:37:26,CLT,2024-03-30,2024-03-24,temporário,Accusantium sequi odit quis commodi voluptatibus.,rejeitado
Sra. Nina Correia,1969-12-25,157.928.306-30,21865,Flautista,corrupti,2024-02-13,2024-02-12,14,B004,nihil,2024-04-26,75084-P,Sra. Mirella Costa,da Conceição,internação,afastamento parcial,sim,perícia,repouso,2024-04-05,2024-02-17,1,04:15:02,CLT,2024-03-07,2024-01-05,efetivo,Non officiis deleniti commodi voluptates harum id.,rejeitado
Sr. Benício Peixoto,1986-06-26,908.621.537-86,62636,Farmacêutico,aut,2024-02-07,2024-02-21,22,A0038,ex,2024-01-01,94725-P,Paulo Carvalho,da Mota Nascimento - ME,ambulatorial,afastamento total,sim,consulta,repouso,2024-06-11,2024-03-04,1,07:50:15,Estatutário,2024-04-23,2024-06-11,efetivo,Nisi deleniti alias tempora sunt inventore possimus.,aprovado
Isaac Costa,1978-05-18,736.512.049-52,60876,Angiologista,quis,2024-03-28,2024-06-02,25,A009,consectetur,2024-01-07,36134-S,Antônio Viana,Barbosa Costa S.A.,internação,afastamento total,sim,consulta,medicação,2024-03-29,2024-02-27,1,05:46:07,Estatutário,2024-01-30,2024-05-27,efetivo,Adipisci placeat libero omnis quidem doloremque dolor.,pendente
João Miguel da Mata,1980-03-31,137.685.402-35,38069,Neurologista,quia,2024-03-19,2024-04-24,12,C0087,harum,2024-03-25,47326-S,Sra. Ana Júlia Costa,Carvalho,internação,afastamento total,sim,consulta,outro,2024-05-02,2024-05-13,3,11:27:46,Estatutário,2024-02-17,2024-05-27,efetivo,Nobis maiores dolorem eos dolore enim.,rejeitado
Ana Beatriz da Rosa,1960-08-14,732.140.869-87,97340,Clarinetista,libero,2024-02-24,2024-04-08,6,A0028,vitae,2024-01-05,16486-P,Ana Carolina Jesus,da Cruz,ambulatorial,afastamento total,sim,consulta,repouso,2024-02-13,2024-03-10,4,16:33:04,Estatutário,2024-02-14,2024-04-26,temporário,Quidem aperiam facere dolore.,aprovado
Luna Lima,2005-07-20,649.702.813-78,91579,Alergologista,reiciendis,2024-04-19,2024-03-27,13,B0020,dolores,2024-03-14,51482-P,Sra. Raquel Caldeira,Moraes,internação,afastamento parcial,não,perícia,repouso,2024-04-05,2024-05-14,2,18:51:14,Estatutário,2024-05-03,2024-02-08,temporário,Impedit magni dolores quae voluptatem adipisci.,aprovado
Igor Martins,1988-01-23,329.176.450-16,37333,Alfaiate,pariatur,2024-04-15,2024-01-03,14,B009,pariatur,2024-03-06,75004-S,Dr. Gabriel Azevedo,Lima,ambulatorial,afastamento parcial,não,perícia,outro,2024-03-12,2024-02-25,3,10:55:26,CLT,2024-02-29,2024-01-28,efetivo,Mollitia rem non nesciunt voluptatum.,rejeitado
Emanuelly Sales,1984-05-31,423.518.906-98,5520,Corregedor de justiça,libero,2024-02-22,2024-06-14,22,D0025,unde,2024-05-20,40911-S,Cauê Almeida,Freitas,ambulatorial,afastamento parcial,sim,consulta,outro,2024-02-29,2024-05-20,4,09:05:43,CLT,2024-03-17,2024-01-11,efetivo,Beatae amet sequi tempora repudiandae iusto officia expedita.,aprovado
Maitê Alves,1985-05-21,137.029.856-03,31411,Guarda roupeiro,eaque,2024-03-01,2024-02-25,2,D0033,excepturi,2024-06-16,45436-S,Ana Luiza Fernandes,Viana S/A,internação,afastamento parcial,sim,perícia,repouso,2024-04-12,2024-05-19,5,20:20:15,Estatutário,2024-01-31,2024-05-18,efetivo,Blanditiis aliquam sapiente magni excepturi alias.,rejeitado
Helena Rezende,1959-08-15,470.632.195-61,5469,Podólogo,amet,2024-04-18,2024-02-19,6,C0022,natus,2024-01-07,16505-P,Davi Lucca Moura,da Paz,internação,afastamento total,não,consulta,repouso,2024-02-07,2024-04-10,1,13:21:26,CLT,2024-02-10,2024-04-27,efetivo,Corrupti ab optio fugiat illo a.,aprovado
Natália Ramos,1990-06-06,730.692.841-40,13783,Engenheiro metalúrgico,modi,2024-04-25,2024-03-18,11,D0030,sequi,2024-05-28,86315-P,Beatriz Azevedo,Oliveira das Neves - ME,internação,afastamento parcial,sim,perícia,outro,2024-05-07,2024-05-21,5,23:57:10,Estatutário,2024-03-22,2024-04-05,temporário,Sed dolore sapiente veritatis.,aprovado
Evelyn Silveira,1976-04-18,624.781.395-37,1140,Protesista,totam,2024-05-28,2024-04-29,11,B0028,voluptatibus,2024-01-23,45304-P,Bianca Fogaça,Santos - EI,internação,afastamento parcial,não,perícia,repouso,2024-03-17,2024-01-23,4,05:11:44,Estatutário,2024-02-02,2024-01-18,temporário,Distinctio corrupti officia nesciunt doloribus a.,aprovado
Rafael Gomes,1963-10-28,347.296.051-52,29306,Juiz de futebol,vitae,2024-04-11,2024-01-16,30,A0055,unde,2024-05-17,20851-S,Sarah Teixeira,Rocha,ambulatorial,afastamento total,sim,perícia,medicação,2024-03-15,2024-04-23,5,12:52:28,Estatutário,2024-02-25,2024-03-10,efetivo,Praesentium sed enim dolor.,rejeitado
Alana Teixeira,1998-05-05,869.754.301-01,24414,Oculista,amet,2024-06-16,2024-06-04,11,C0069,id,2024-02-07,41383-P,Srta. Catarina Duarte,Lopes - EI,ambulatorial,afastamento parcial,não,consulta,repouso,2024-03-18,2024-04-01,3,13:08:54,CLT,2024-02-24,2024-03-27,efetivo,Laboriosam aliquam harum corporis quia.,pendente
Pedro Henrique Lopes,1995-04-10,701.289.346-03,47268,Datilógrafo,molestias,2024-01-11,2024-05-12,1,D0047,delectus,2024-05-29,57309-P,Sra. Melissa Fogaça,Barros,internação,afastamento parcial,não,perícia,outro,2024-03-18,2024-01-13,3,17:36:51,Estatutário,2024-03-29,2024-04-17,efetivo,Ea reprehenderit tenetur perspiciatis esse facere.,aprovado
Thales da Paz,2001-05-06,873.462.509-74,78065,Diplomata,reiciendis,2024-01-28,2024-06-15,17,A009,esse,2024-04-23,69709-S,Dra. Lívia da Mata,Dias,ambulatorial,afastamento parcial,não,consulta,repouso,2024-06-08,2024-01-18,0,07:12:55,CLT,2024-02-27,2024-02-08,temporário,Tempora cumque ea iure fuga aut dolor.,aprovado
Enzo Gabriel Duarte,1969-02-04,580.769.412-02,30661,Engenheiro de transportes,adipisci,2024-04-28,2024-05-11,25,C000,occaecati,2024-01-24,39617-P,Paulo Silveira,Cunha - ME,ambulatorial,afastamento parcial,sim,consulta,outro,2024-04-26,2024-02-22,0,06:08:42,CLT,2024-05-24,2024-03-30,temporário,Aperiam illum asperiores quam perspiciatis.,pendente
Maria Pires,1976-02-10,051.927.843-79,72368,Engenheiro de alimentos,repudiandae,2024-04-08,2024-04-08,12,A0040,dolorum,2024-02-11,14924-S,Gabriel Pinto,da Rosa da Conceição - ME,internação,afastamento parcial,não,consulta,repouso,2024-01-08,2024-01-18,4,13:18:37,CLT,2024-01-31,2024-03-12,temporário,Sed explicabo quis nemo voluptatum quis laboriosam.,rejeitado
Rafael da Paz,1994-08-08,637.215.804-35,51911,Embalador,ea,2024-03-10,2024-06-16,16,D009,harum,2024-03-14,56951-S,Giovanna Gonçalves,da Rosa das Neves S.A.,internação,afastamento parcial,não,consulta,outro,2024-02-08,2024-01-12,0,01:38:54,Estatutário,2024-03-07,2024-01-09,efetivo,Explicabo debitis amet hic similique.,aprovado
Cauê da Costa,1960-05-07,718.296.504-67,58601,Jogador de bocha,eaque,2024-01-31,2024-03-07,19,B0051,facilis,2024-04-25,21757-P,João Araújo,Moraes S/A,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-04-01,2024-02-01,0,22:39:12,Estatutário,2024-01-20,2024-04-02,efetivo,Laudantium eligendi aspernatur ea optio.,aprovado
Sr. Benício Rocha,2004-08-08,947.351.208-23,79429,Encanador,voluptatibus,2024-05-22,2024-05-24,20,A0012,sunt,2024-04-07,98917-S,Lucas Gabriel Campos,da Mata,ambulatorial,afastamento total,sim,perícia,repouso,2024-01-07,2024-02-28,1,08:58:58,Estatutário,2024-06-06,2024-01-20,temporário,Adipisci sapiente ducimus qui natus iste magni veniam.,rejeitado
Evelyn Sales,1985-02-03,816.324.957-91,90120,Ventríloquo,magnam,2024-05-23,2024-05-25,27,D0059,necessitatibus,2024-04-09,50454-P,Maria Vitória Almeida,Alves - ME,ambulatorial,afastamento total,não,consulta,medicação,2024-03-11,2024-05-16,0,08:44:19,Estatutário,2024-03-16,2024-05-03,efetivo,Blanditiis vero laborum minus blanditiis.,aprovado
